wave,COUNTRY_ALPHA,X001,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
2,JPN,2.0,5.096629213483146,5.9288256227758005,6.632734530938124,0.06628787878787878,0.058712121212121215,0.7859848484848485,0.0,0.0,0.0,0.19886363636363635,0.06628787878787878,0.0,0.0,0.2518939393939394,0.13636363636363635,0.6098484848484849,0.4128787878787879,0.10227272727272728,0.23484848484848486,0.6098484848484849,0.23106060606060605
2,KOR,1.0,,6.644760213143872,6.72790294627383,0.11262798634812286,0.30716723549488056,0.9334470989761092,0.0,0.0,0.0,0.07679180887372014,0.7747440273037542,0.0,0.0,0.4197952218430034,0.2167235494880546,0.5511945392491467,0.10409556313993173,0.18771331058020477,0.23720136518771331,0.5750853242320819,0.052901023890784986
2,KOR,2.0,,6.773148148148148,6.648690292758089,0.20451127819548873,0.20902255639097744,0.9218045112781955,0.0,0.0,0.0,0.11879699248120301,0.9233082706766917,0.0,0.0,0.47969924812030074,0.12180451127819548,0.5368421052631579,0.10676691729323308,0.17443609022556392,0.26165413533834586,0.5353383458646617,0.07067669172932331
2,MEX,1.0,7.7749391727493915,5.602011494252873,7.274154589371981,0.10287081339712918,0.28827751196172247,0.8397129186602871,0.06937799043062201,0.061004784688995214,0.0,0.2236842105263158,0.6447368421052632,0.0,0.0,0.55622009569378,0.2619617224880383,0.46172248803827753,0.1076555023923445,0.43899521531100477,0.27392344497607657,0.6172248803827751,0.3229665071770335
2,MEX,2.0,8.552478134110787,5.805714285714286,7.575801749271137,0.051798561151079135,0.3971223021582734,0.8532374100719424,0.08776978417266187,0.05467625899280575,0.0,0.28776978417266186,0.46474820143884893,0.0,0.0,0.5309352517985612,0.3251798561151079,0.48633093525179855,0.11223021582733812,0.46474820143884893,0.28489208633093527,0.6748201438848921,0.2920863309352518
2,NGA,1.0,9.734453781512604,5.7975460122699385,6.333333333333333,0.2040133779264214,0.8060200668896321,0.9264214046822743,0.10535117056856187,0.205685618729097,0.0,0.34782608695652173,0.7993311036789298,0.0,0.0,0.6655518394648829,0.27759197324414714,0.1688963210702341,0.16555183946488294,0.6956521739130435,0.6688963210702341,0.7491638795986622,0.07023411371237458
2,NGA,2.0,9.719602977667494,5.623762376237623,6.9625,0.13399503722084366,0.9106699751861043,0.9553349875930521,0.10173697270471464,0.19851116625310175,0.0,0.4640198511166253,0.6228287841191067,0.0,0.0,0.6947890818858561,0.3573200992555831,0.15632754342431762,0.18362282878411912,0.7245657568238213,0.6823821339950372,0.7518610421836228,0.052109181141439205
2,POL,1.0,8.377232142857142,5.731428571428571,6.707589285714286,0.1145374449339207,0.3039647577092511,0.8700440528634361,0.0,0.0,0.0,0.10352422907488987,0.8480176211453745,0.0,0.0,0.6453744493392071,0.15198237885462554,0.0,0.0,0.0,0.32158590308370044,0.0,0.0
2,POL,2.0,9.161425576519916,5.821192052980132,6.575313807531381,0.035269709543568464,0.36099585062240663,0.9336099585062241,0.0,0.0,0.0,0.08921161825726141,0.7406639004149378,0.0,0.0,0.6887966804979253,0.11203319502074689,0.0,0.0,0.0,0.34854771784232363,0.0,0.0
2,RUS,1.0,3.0961038961038962,4.626043405676127,5.365644171779141,0.14814814814814814,0.06571087216248507,0.7156511350059738,0.0,0.08363201911589008,0.0,0.052568697729988054,0.7538829151732378,0.0,0.0,0.21385902031063322,0.14217443249701314,0.35125448028673834,0.25089605734767023,0.24492234169653523,0.2807646356033453,0.6571087216248507,0.13261648745519714
2,RUS,2.0,4.672727272727273,4.831385642737897,5.381735159817351,0.06405693950177936,0.14412811387900357,0.8176156583629893,0.0,0.11654804270462633,0.0,0.05338078291814947,0.6165480427046264,0.0,0.0,0.2749110320284697,0.12188612099644128,0.24733096085409254,0.2313167259786477,0.26868327402135234,0.2722419928825623,0.7348754448398577,0.09875444839857651
2,SVK,1.0,,5.375586854460094,6.515695067264574,0.47533632286995514,0.14349775784753363,0.8475336322869955,0.08520179372197309,0.02242152466367713,0.0,0.04484304932735426,0.7174887892376681,0.0,0.0,0.31390134529147984,0.21973094170403587,0.24663677130044842,0.28699551569506726,0.36771300448430494,0.3273542600896861,0.6457399103139013,0.08071748878923767
2,SVK,2.0,,5.502202643171806,5.8125,0.5165289256198347,0.22727272727272727,0.8884297520661157,0.05785123966942149,0.01652892561983471,0.0,0.03305785123966942,0.5950413223140496,0.0,0.0,0.3305785123966942,0.09090909090909091,0.19421487603305784,0.2644628099173554,0.3925619834710744,0.2809917355371901,0.6115702479338843,0.07851239669421488
2,TUR,1.0,8.673189823874756,5.439583333333333,6.133595284872299,0.134765625,0.576171875,0.8515625,0.138671875,0.0,0.0,0.220703125,0.921875,0.0,0.0,0.65234375,0.248046875,0.21484375,0.248046875,0.3125,0.2265625,0.689453125,0.26171875
2,TUR,2.0,8.996116504854369,5.303827751196172,6.671814671814672,0.06563706563706563,0.6332046332046332,0.88996138996139,0.18146718146718147,0.0,0.0,0.36486486486486486,0.8803088803088803,0.0,0.0,0.6583011583011583,0.24324324324324326,0.16988416988416988,0.30694980694980695,0.31467181467181465,0.2528957528957529,0.693050193050193,0.20463320463320464
2,ZAF,1.0,8.742351046698873,5.412435233160622,6.696529459241324,0.3004769475357711,0.5556438791732909,0.8656597774244833,0.0,0.17965023847376788,0.0,0.2424483306836248,0.6732909379968204,0.0,0.0,0.6319554848966613,0.28378378378378377,0.17170111287758347,0.20349761526232116,0.41971383147853736,0.2917329093799682,0.5635930047694754,0.09300476947535771
2,ZAF,2.0,9.206849315068494,5.343237704918033,6.748112560054907,0.15832205683355885,0.6935047361299053,0.9032476319350473,0.0,0.16779431664411368,0.0,0.2922868741542625,0.5460081190798376,0.0,0.0,0.628552097428958,0.18538565629228687,0.2253044654939107,0.2104194857916103,0.3565629228687415,0.2625169147496617,0.6041948579161028,0.08186738836265223
3,ALB,1.0,6.484276729559748,5.129589632829374,4.861855670103092,0.13524590163934427,0.18442622950819673,0.9508196721311475,0.0389344262295082,0.02459016393442623,0.3790983606557377,0.040983606557377046,0.5942622950819673,0.18237704918032788,0.0,0.5614754098360656,0.17008196721311475,0.32786885245901637,0.13524590163934427,0.5655737704918032,0.13319672131147542,0.805327868852459,0.1168032786885246
3,ALB,2.0,7.65587044534413,4.986725663716814,4.675298804780876,0.0297029702970297,0.299009900990099,0.9643564356435643,0.039603960396039604,0.0039603960396039604,0.28316831683168314,0.02178217821782178,0.5346534653465347,0.11089108910891089,0.0,0.5128712871287129,0.21188118811881188,0.3108910891089109,0.09702970297029703,0.598019801980198,0.10495049504950495,0.8138613861386138,0.09900990099009901
3,ARG,1.0,7.907297830374754,5.689497716894977,6.8882352941176475,0.083984375,0.287109375,0.8515625,0.060546875,0.013671875,0.0703125,0.267578125,0.62109375,0.064453125,0.0,0.556640625,0.1796875,0.39453125,0.189453125,0.328125,0.25390625,0.681640625,0.275390625
3,ARG,2.0,8.788256227758007,5.686635944700461,6.96113074204947,0.07231040564373897,0.43915343915343913,0.8871252204585538,0.03880070546737213,0.008818342151675485,0.054673721340388004,0.31569664902998235,0.5520282186948854,0.0564373897707231,0.0,0.5414462081128748,0.16049382716049382,0.42504409171075835,0.13932980599647266,0.31040564373897706,0.25925925925925924,0.7760141093474426,0.2310405643738977
3,ARM,1.0,6.07981755986317,5.39367088607595,4.404710920770878,0.2053191489361702,0.1829787234042553,0.8457446808510638,0.08617021276595745,0.009574468085106383,0.42659574468085104,0.06063829787234042,0.7840425531914894,0.17127659574468085,0.026595744680851064,0.4521276595744681,0.2351063829787234,0.37446808510638296,0.324468085106383,0.15,0.24574468085106382,0.4478723404255319,0.15638297872340426
3,ARM,2.0,7.376482213438735,5.3895939086294415,4.241706161137441,0.08113207547169811,0.30943396226415093,0.8726415094339622,0.07264150943396226,0.005660377358490566,0.27075471698113207,0.06037735849056604,0.6018867924528302,0.180188679245283,0.02169811320754717,0.39811320754716983,0.26132075471698113,0.27169811320754716,0.28962264150943395,0.20566037735849058,0.2169811320754717,0.5169811320754717,0.15754716981132075
3,AUS,1.0,5.121827411167513,5.3923766816143495,7.523185483870968,0.20904522613065327,0.19095477386934673,0.8633165829145729,0.031155778894472363,0.018090452261306532,0.04623115577889447,0.3969849246231156,0.7517587939698492,0.08442211055276382,0.0,0.6814070351758794,0.1748743718592965,0.4663316582914573,0.37286432160804023,0.2974874371859296,0.4472361809045226,0.7829145728643216,0.271356783919598
3,AUS,2.0,6.152671755725191,5.301781737193764,7.638968481375358,0.12725546058879392,0.2725546058879392,0.9373219373219374,0.013295346628679962,0.002849002849002849,0.01899335232668566,0.46533713200379867,0.6239316239316239,0.052231718898385564,0.0,0.7008547008547008,0.17473884140550808,0.5849952516619183,0.4188034188034188,0.27730294396961064,0.44349477682811017,0.8338081671415005,0.2668566001899335
