wave,COUNTRY_ALPHA,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
2,SVK,,5.444444444444445,6.151187904967602,0.4978540772532189,0.1888412017167382,0.869098712446352,0.07081545064377683,0.019313304721030045,0.0,0.03862660944206009,0.6545064377682404,0.0,0.0,0.3218884120171674,0.15236051502145923,0.22103004291845493,0.27682403433476394,0.3798283261802575,0.30257510729613735,0.6266094420600858,0.07939914163090128
2,TUR,8.835282651072125,5.3763919821826285,6.405063291139241,0.1,0.6048543689320388,0.870873786407767,0.16019417475728157,0.0,0.0,0.29320388349514565,0.9009708737864077,0.0,0.0,0.6553398058252428,0.24563106796116504,0.19223300970873786,0.27766990291262134,0.31359223300970873,0.23980582524271846,0.6912621359223301,0.23300970873786409
2,ZAF,8.993338267949667,5.377640391550747,6.724406528189911,0.2236842105263158,0.6301169590643275,0.8859649122807017,0.0,0.17324561403508773,0.0,0.26937134502923976,0.60453216374269,0.0,0.0,0.6301169590643275,0.23062865497076024,0.20065789473684212,0.20723684210526316,0.3855994152046784,0.27595029239766083,0.5855263157894737,0.08698830409356725
3,ALB,7.077789150460593,5.069489685124864,4.765357502517624,0.08208208208208208,0.24224224224224225,0.9579579579579579,0.04004004004004004,0.014014014014014014,0.3303303303303303,0.031031031031031032,0.5635635635635635,0.14614614614614616,0.0,0.5385385385385385,0.19019019019019018,0.3203203203203203,0.11711711711711711,0.5815815815815816,0.11811811811811812,0.8108108108108109,0.10710710710710711
3,ARG,8.37043966323667,5.6880733944954125,6.926579925650557,0.0778498609823911,0.3670064874884152,0.8702502316960148,0.04911955514365153,0.011121408711770158,0.06209453197405004,0.2928637627432808,0.5848007414272475,0.060240963855421686,0.0,0.5486561631139945,0.1696014828544949,0.41056533827618164,0.16311399443929564,0.31881371640407785,0.2567191844300278,0.7312326227988879,0.2520852641334569
3,ARM,6.774483853890947,5.391634980988593,4.318250377073906,0.1395,0.25,0.86,0.079,0.0075,0.344,0.0605,0.6875,0.176,0.024,0.4235,0.249,0.32,0.306,0.1795,0.2305,0.4845,0.157
3,AUS,5.653221839645844,5.346927374301676,7.582638548307994,0.1669921875,0.23291015625,0.9013671875,0.02197265625,0.01025390625,0.0322265625,0.43212890625,0.68603515625,0.06787109375,0.0,0.69140625,0.1748046875,0.52734375,0.396484375,0.287109375,0.4453125,0.80908203125,0.26904296875
3,AZE,8.668542199488492,5.543494423791822,5.392766174223127,0.08491508491508491,0.2947052947052947,0.8466533466533467,0.37362637362637363,0.15734265734265734,0.3086913086913087,0.11038961038961038,0.9140859140859141,0.032467532467532464,0.15134865134865136,0.6303696303696303,0.21178821178821178,0.596903096903097,0.16583416583416583,0.24825174825174826,0.3001998001998002,0.5914085914085914,0.13836163836163837
3,BGD,9.512549537648614,7.037383177570093,6.406145624582498,0.11475409836065574,0.8222950819672131,0.9422950819672131,0.3121311475409836,0.16262295081967212,0.20524590163934425,0.179672131147541,0.7875409836065573,0.02360655737704918,0.0,0.7731147540983606,0.1822950819672131,0.5698360655737705,0.15672131147540982,0.1901639344262295,0.11081967213114755,0.6918032786885245,0.14163934426229507
3,BGR,4.882005899705015,5.7959866220735785,4.660359508041627,0.0708955223880597,0.14832089552238806,0.878731343283582,0.14272388059701493,0.04197761194029851,0.22574626865671643,0.08955223880597014,0.5503731343283582,0.20988805970149255,0.0,0.45615671641791045,0.15205223880597016,0.3843283582089552,0.4468283582089552,0.20335820895522388,0.208955223880597,0.46361940298507465,0.07462686567164178
